"","District","STATE","REMARKS","State_LGD","DISTRICT_L","Shape_Leng","Shape_Area","PM25pc"
"1","Bishnupur","Manipur",NA,14,"252",158213.286308,461820332.272,38.5018604942252
"2","Chandel","Manipur",NA,14,"253",237512.985874,1896502418.81,29.2302105815469
"3","Churachandpur","Manipur",NA,14,"254",288454.45405,2341837747.98,30.6992285861729
"4","Imphal West","Manipur",NA,14,"256",195028.390398,468816414.148,36.955109460399
"5","Imphal East","Manipur","Not Verified on Ground",14,"255",179407.796001,416259005.407,34.7604781541388
"6","Jiribam","Manipur","Not Verified on Ground",14,"713",135285.963501,283570156.561,33.9716743631915
"7","Ukhrul","Manipur","Not Verified on Ground",14,"260",269579.396475,2011470670.78,21.6857513028523
"8","Senapati","Manipur",NA,14,"257",240669.076361,1683367286.12,22.8598393363666
"9","Tamenglong","Manipur",NA,14,"258",377796.105229,2901830877.08,29.5878550392685
"10","Thoubal","Manipur",NA,14,"259",130368.883967,378152455.384,36.6028711354891
"11","Kamjong","Manipur",NA,14,"717",238791.207687,2291046228.12,26.8091427015881
"12","Nonei","Manipur","Not Verified on Ground",14,"714",208746.501245,1133651775.6,31.7178147162167
"13","Pherzawl","Manipur","Not Verified on Ground",14,"715",276653.030631,2062707915.89,32.270701390526
"14","Tengnoupal","Manipur","Not Verified on Ground",14,"716",180746.759576,1182785073.36,30.6191468045602
"15","Kangpokpi","Manipur","Not Verified on Ground",14,"712",509252.091879,1665864941.94,28.1251990002008
"16","Kakching","Manipur","Not Verified on Ground",14,"711",116224.397022,307735976.305,35.3575877862816
